,Book_name,writers,rating,description,url,num_ratings,num_reviews,info_book,publicacion
10,"Welcome to Pawnee: Stories of Friendship, Waffles, and Parks and Recreation",Jim O’Heir,3.84,"Jim O’Heir, best known for his role as Jerry (or Garry/Larry/Terry/Barry) on Parks and Recreation and co-host of the hit podcast Parks and Recollection , brings fans a heartfelt and intimate behind-the-scenes look at one of America’s most beloved sitcoms, brimming with never-before-told stories from Chris Pratt, Retta, Greg Daniels, and more.",https://www.goodreads.com/book/show/200298052-welcome-to-pawnee,377,90,"272 pages, Hardcover"," First published November 19, 2024"
11,"Her Lotus Year: China, the Roaring Twenties, and the Making of Wallis Simpson",Paul French,3.62,"New York Times bestselling author Paul French examines a controversial and revealing period in the early life of the legendary Wallis, Duchess of Windsor–her one year in China.

Before she was the Duchess of Windsor, Bessie Wallis Warfield was Mrs. Wallis Spencer, wife of Earl “Win” Spencer, a US Navy aviator. From humble beginnings in Baltimore, she rose to marry a man who gave up his throne for her. But what made Wallis Spencer, Navy Wife, the woman who could become the Duchess of Windsor? The answers lie in her one-year sojourn in China.

In her memoirs, Wallis described her time in China as her “Lotus Year,” referring to Homer’s Lotus Eaters, a group living in a state of dreamy forgetfulness, never to return home. Though faced with challenges, Wallis came to appreciate traditional Chinese aesthetics. China molded her in terms of her style and provided her with friendships that lasted a lifetime. But that “Lotus Year” would also later be used to damn her in the eyes of the British Establishment.

The British government’s supposed “China Dossier” of Wallis’s rumored amorous and immoral activities in the Far East was a damning concoction, portraying her as sordid, debauched, influenced by foreign agents, and unfit to marry a king. Instead, French, an award-winning China historian, reveals Wallis Warfield Spencer as a woman of tremendous courage who may have acted as a courier for the US government, undertaking dangerous undercover diplomatic missions in a China torn by civil war.

is an untold story in the colorful life of a woman too often maligned by history.",https://www.goodreads.com/book/show/203578750-her-lotus-year,63,33,"320 pages, Hardcover"," First published November 19, 2024"
12,"Ingenious: A Biography of Benjamin Franklin, Scientist",Richard Munson,4.53,"The dramatic story of an ingenious man who explained nature and created a country.

Benjamin Franklin was one of the preeminent scientists of his time. Driven by curiosity, he conducted cutting-edge research on electricity, heat, ocean currents, weather patterns, chemical bonds, and plants. But today, Franklin is remembered more for his political prowess and diplomatic achievements than his scientific creativity.

In , Richard Munson recovers this vital part of Franklin’s story, reveals his modern relevance, and offers a compelling portrait of a shrewd experimenter, clever innovator, and visionary physicist whose fame opened doors to negotiate French support and funding for American independence. Munson’s riveting narrative explores how science underpins Franklin’s entire story—from tradesman to inventor to nation-founder.",https://www.goodreads.com/book/show/205478785-ingenious,80,32,"256 pages, Hardcover"," First published November 12, 2024"
13,Master of Me: The Secret to Controlling Your Narrative,Keke Palmer,3.71,"From the award-winning, multihyphenate global entertainer Keke Palmer comes the inspiring true story of her journey to understanding her genuine value.

A MOST ANTICIPATED BOOK OF FALL 2024: Bookshop, Apple Books, and more!!

Keke Palmer thought she knew who she was. What it means to be a good person and what it takes to be a success. It all seemed so simple, until she realized the challenges she would have to face to prove to herself who she wanted to be. From feeling alienated to having to restart her career after ten years in to becoming a single mother just months after her son was born—everything she worked for in life that she felt granted her what she wanted now also reminded her that “life is going to life” and throw curveballs regardless of what you deserve. She found herself asking, Where do I find my power? How do I master myself?

In her own raw and intimate words, Keke talks about everything from her struggles with boundaries to unconditional love, forgiveness, and worthiness. “Don’t block your blessings and potential opportunities by allowing the voices of other people to influence your actions,” she says. “How you’re choosing to set yourself up for success is between you and the person looking back at you in the mirror.”

Throughout the book, Keke also poses readers with the questions needed to get them through their own challenging times by sharing personal stories and lessons she’s learned along the way. She gets candid about the tools she’s developed to take the reins, harness her vulnerability, and recognize ownership in the narrative of her life—which allowed her to turn personal power into major power.

In this exhilarating, deeply poignant, and often laugh-out-loud book, Lauren Keyana Palmer gets real about life, work, love, and belief. These pages will encourage readers to empower themselves with the truth, leverage their currency, and find the keys to master themselves and the art of alchemy. Keke writes, “You are not on anyone else’s timeline, only your own.”

The result is a tour de force.

They said, “Jack of all Trades, Master of None.”
She said, “No, I am the Master. Of Me.”",https://www.goodreads.com/book/show/207376026-master-of-me,406,86,"256 pages, Hardcover"," First published November 19, 2024"
14,Lincoln vs. Davis: The War of the Presidents,Nigel Hamilton,4.1,"From renowned biographer­­­ Nigel Hamilton, author of the epic FDR at War trilogy and the bestselling Reckless Youth, comes the greatest untold story of the Civil how two American presidents faced off as the fate of the nation hung in the balance — and how Abraham Lincoln came to embrace emancipation as the last, best chance to save the Union. Of all the books written on Abraham Lincoln, there has been one surprising the drama of how the “railsplitter” from Illinois grew into his critical role as U.S. commander-in-chief, and managed to outwit his formidable opponent, Jefferson Davis, in what remains history's only military faceoff between rival American presidents. Davis was a trained soldier and war hero; Lincoln a country lawyer who had only briefly served in the militia. Confronted with the most violent and challenging war ever seen on American soil, Lincoln seemed ill-suited to the inexperienced, indecisive, and a poor judge of people’s motives, he allowed his administration's war policies to be sabotaged by fickle, faithless cabinet officials while entrusting command of his army to a preening young officer named George McClellan – whose defeat in battle left Washington, the nation’s capital, at the mercy of General Robert E. Lee, Davis’s star performer.   The war almost ended there. But in a Shakespearean twist, Lincoln summoned the courage to make, at last, a climactic issuing as a “military necessity” a proclamation freeing the 3.5 million enslaved Americans without whom the South could not feed or fund their armed insurrection. The new war policy doomed the rebellion—which was in dire need of support from Europe, none of whose governments now would dare to recognize rebel “independence” in a war openly fought over slavery. The fate of President Davis was sealed.   With a cast of unforgettable characters, from first ladies to fugitive coachmen to treasonous cabinet officials, Lincoln vs. Davis is a spellbinding dual biography from renowned presidential chronicler Nigel a saga that will surprise, touch, and enthrall.",https://www.goodreads.com/book/show/209456058-lincoln-vs-davis,29,12,"800 pages, Hardcover"," First published November 5, 2024"
15,Dezorientacje. Biografia Marii Konopnickiej,Magdalena Grzebałkowska,4.24,"MAGDALENA GRZEBAŁKOWSKA NA TROPIE KONOPNICKIEJ

BEZKOMPROMISOWA BIOGRAFIA POETKI

Matka ośmiorga dzieci opuszcza męża i przenosi się do Warszawy, by pisać poezję.

Autorka bajki O krasnoludkach i o sierotce Marysi chorą córkę zamyka w szpitalu psychiatrycznym.

Pochylająca się nad losem dzieci społeczniczka oddaje obcym ludziom własnego wnuka.

Postać migotliwa, niejednoznaczna, nieuchwytna. Wybitna reporterka Magdalena Grzebałkowska mierzy się z legendą Konopnickiej. Odkrywa rysy na jej wizerunku i sprawia, że znana z czarno-białych portretów ponura matrona przeistacza się w barwną, pełną życia kobietę.

Decyzje, dylematy i rozterki Konopnickiej – buntowniczki, feministki, artystki, pokazują, że była postacią na wskroś współczesną, która wciąż może inspirować, zaskakiwać i szokować.",https://www.goodreads.com/book/show/204948494-dezorientacje-biografia-marii-konopnickiej,50,12,"512 pages, Hardcover"," First published November 1, 2024"
16,Our Jackie: Public Claims on a Private Life,Karen M. Dunak,3.8,"Tells the story of Jacqueline Kennedy Onassis through her evolving public persona, from campaign wife to First Lady to fallen idol to treasured national iconWhen Jacqueline Kennedy Onassis became First Lady of the United States over sixty years ago, she stepped into the public spotlight. Although Jackie is perhaps best known for her two highly-publicized marriages, her legacy has endured beyond twentieth-century pop culture and she remains an object of public fascination today.Drawing on a range of sources– from articles penned for the women’s pages of local newspapers, to esteemed national periodicals, to fan magazines and film– Our Jackie evaluates how media coverage of Jacqueline Kennedy Onassis changed over the course of her very public life. Jackie’s interactions with and framing by the American media reflect the changing attitudes toward American womanhood. Over the course of four decades, Jackie was alternatively praised for her service to others, and pilloried for her perceived self-interest. In Our Jackie, Karen M. Dunak argues that whether she was portrayed as a campaign wife, a loyal widow, a selfish jetsetter, or a mature career woman, the history of Jackie’s highly publicized life demonstrates the ways in which news, entertainment, politics, and celebrity evolved and intertwined over the second half of the twentieth century.Examining the intimate chronicles of this famous First Lady’s life, Our Jackie suggests that media coverage of this enigmatic public figure revealed as much about the prevailing views of women in America– how they should behave and whom they should serve– as it did about Jacqueline Kennedy Onassis as an individual.",https://www.goodreads.com/book/show/210047093-our-jackie,5,4,"360 pages, Hardcover"," First published November 12, 2024"
17,J.R.R. Tolkien: A Very Short Introduction,Matthew Townend,4.57,"J.R.R. Tolkien was the author of two of the most extraordinary, most original, and most popular books of the twentieth century: The Hobbit, and The Lord of the Rings. The encounter with his works has had profound and far-reaching consequences for millions of readers, who have experienced a form of re-enchantment in the midst of the modern world. Tolkien's works have opened a door to myth, folklore, and fairy tale, and to the discovery of what we now call fantasy literature. He is also a writer who has changed our common culture.

This by Matthew Townend offers an accessible and authoritative guide to the full range of Tolkien's extensive writings, including his academic and posthumously published work. It places Tolkien's writing in the time and context of their composition, and it takes a thematic approach by exploring recurrent ideas and preoccupations in his writings. Throughout the author offers new ideas and insights on Tolkien.

ABOUT THE SERIES: The series from Oxford University Press contains hundreds of titles in almost every subject area. These pocket-sized books are the perfect way to get ahead in a new subject quickly. Our expert authors combine facts, analysis, perspective, new ideas, and enthusiasm to make interesting and challenging topics highly readable.",https://www.goodreads.com/book/show/209818985-j-r-r-tolkien,7,1,"160 pages, Paperback"," First published November 28, 2024"
18,What I Ate in One Year,Stanley Tucci,3.97,"From Stanley Tucci, award-winning actor and New York Times bestselling author, a deliciously unique memoir chronicling a year’s worth of meals.

“Sharing food is one of the purest human acts.”

Food has always been an integral part of Stanley Tucci’s life: from stracciatella soup served in the shadow of the Pantheon, to marinara sauce cooked between scene rehearsals and costume fittings, to home-made pizza eaten with his children before bedtime.

Now, in What I Ate in One Year Tucci records twelve months of eating—in restaurants, kitchens, film sets, press junkets, at home and abroad, with friends, with family, with strangers, and occasionally just by himself.

Ranging from the mouth-wateringly memorable to the comfortingly domestic and to the infuriatingly inedible, the meals memorialised in this diary are a prism for him to reflect on the ways his life, and his family, are constantly evolving. Through food he marks—and mourns—the passing of time, the loss of loved ones, and steels himself for what is to come.

Whether it’s duck a l’orange eaten with fellow actors and cooked by singing Carmelite nuns, steaks barbequed at a gathering with friends, or meatballs made by his mother and son and shared at the table with three generations of his family, these meals give shape and add emotional richness to his days.

What I Ate in One Year is a funny, poignant, heartfelt, and deeply satisfying serving of memories and meals and an irresistible celebration of the profound role that food plays in all our lives.",https://www.goodreads.com/book/show/207298822-what-i-ate-in-one-year,"4,232",688,"368 pages, Hardcover"," First published October 15, 2024"
19,The Elements of Marie Curie: How the Glow of Radium Lit a Path for Women in Science,Dava Sobel,3.89,"The acclaimed Pulitzer Prize finalist and #1 New York Times bestselling author of Galileo’s Daughter crafts a luminous chronicle of the life and work of the most famous woman in the history of science, and the untold story of the many young women trained in her laboratory who were launched into stellar scientific careers of their own

“Even now, nearly a century after her death, Marie Curie remains the only female scientist most people can name,” writes Dava Sobel at the opening of her shining portrait of the sole Nobel laureate decorated in two separate fields of science—Physics in 1903 with her husband Pierre and Chemistry by herself in 1911. And yet, Sobel makes clear, as brilliant and creative as she was in the laboratory, Marie Curie was equally passionate outside it. Grieving Pierre’s untimely death in 1906, she took his place as professor of physics at the Sorbonne; devotedly raised two brilliant daughters; drove a van she outfitted with x-ray equipment to the front lines of World War I; befriended Albert Einstein and other luminaries of twentieth-century physics; won support from two U.S. presidents; and inspired generations of young women the world over to pursue science as a way of life.

As Sobel did so memorably in her portrait of Galileo through the prism of his daughter, she approaches Marie Curie from a unique angle, narrating her remarkable life of discovery and fame alongside the women who became her legacy—from France’s Marguerite Perey, who discovered the element francium, and Norway’s Ellen Gleditsch, to Mme. Curie’s elder daughter, Irène, winner of the 1935 Nobel Prize in Chemistry. For decades the only woman in the room at international scientific gatherings that probed new theories about the interior of the atom, Marie Curie traveled far and wide, despite constant illness, to share the secrets of radioactivity, a term she coined. Her two triumphant tours of the United States won her admirers for her modesty even as she was mobbed at every stop; her daughters, in Ève’s later recollection, “discovered all at once what the retiring woman with whom they had always lived meant to the world.”

With the consummate skill that made bestsellers of Longitude and Galileo’s Daughter, and the appreciation for women in science at the heart of her most recent The Glass Universe, Dava Sobel has crafted a radiant biography and a masterpiece of storytelling, illuminating the life and enduring influence of one of the most consequential figures of our time.",https://www.goodreads.com/book/show/208580608-the-elements-of-marie-curie,452,105,"336 pages, Hardcover"," First published October 8, 2024"
20,Sonny Boy: A Memoir,Al Pacino,4.1,"From one of the most iconic actors in the history of film, an astonishingly revelatory account of a creative life in full. To the wider world, Al Pacino exploded onto the scene like a supernova. He landed his first leading role, in The Panic in Needle Park, in 1971, and by 1975, he had starred in four movies—The Godfather and The Godfather Part II, Serpico, and Dog Day Afternoon—that were not just successes but landmarks in the history of film. Those performances became legendary and changed his life forever. Not since Marlon Brando and James Dean in the late 1950s had an actor landed in the culture with such force. But Pacino was in his mid-thirties by then, and had already lived several lives. A fixture of avant-garde theater in New York, he had led a bohemian existence, working odd jobs to support his craft. He was raised by a fiercely loving but mentally unwell mother and her parents after his father left them when he was young, but in a real sense he was raised by the streets of the South Bronx, and by the troop of buccaneering young friends he ran with, whose spirits never left him. After a teacher recognized his acting promise and pushed him toward New York’s fabled High School of Performing Arts, the die was cast. In good times and bad, in poverty and in wealth and in poverty again, through pain and joy, acting was his lifeline, its community his tribe. Sonny Boy is the memoir of a man who has nothing left to fear and nothing left to hide. All the great roles, the essential collaborations, and the important relationships are given their full due, as is the vexed marriage between creativity and commerce at the highest levels. The book’s golden thread, however, is the spirit of love and purpose. Love can fail you, and you can be defeated in your ambitions—the same lights that shine bright can also dim. But Al Pacino was lucky enough to fall deeply in love with a craft before he had the foggiest idea of any of its earthly rewards, and he never fell out of love. That has made all the difference.",https://www.goodreads.com/book/show/209499400-sonny-boy,"2,816",410,"384 pages, Hardcover"," First published October 15, 2024"
21,I'm Glad My Mom Died,Jennette McCurdy,4.45,"A heartbreaking and hilarious memoir by iCarly and Sam & Cat star Jennette McCurdy about her struggles as a former child actor—including eating disorders, addiction, and a complicated relationship with her overbearing mother—and how she retook control of her life.

Jennette McCurdy was six years old when she had her first acting audition. Her mother’s dream was for her only daughter to become a star, and Jennette would do anything to make her mother happy. So she went along with what Mom called “calorie restriction,” eating little and weighing herself five times a day. She endured extensive at-home makeovers while Mom chided, “Your eyelashes are invisible, okay? You think Dakota Fanning doesn’t tint hers?” She was even showered by Mom until age sixteen while sharing her diaries, email, and all her income.

In , Jennette recounts all this in unflinching detail—just as she chronicles what happens when the dream finally comes true. Cast in a new Nickelodeon series called iCarly , she is thrust into fame. Though Mom is ecstatic, emailing fan club moderators and getting on a first-name basis with the paparazzi (“Hi Gale!”), Jennette is riddled with anxiety, shame, and self-loathing, which manifest into eating disorders, addiction, and a series of unhealthy relationships. These issues only get worse when, soon after taking the lead in the iCarly spinoff Sam & Cat alongside Ariana Grande, her mother dies of cancer. Finally, after discovering therapy and quitting acting, Jennette embarks on recovery and decides for the first time in her life what she really wants.

Told with refreshing candor and dark humor, is an inspiring story of resilience, independence, and the joy of shampooing your own hair.",https://www.goodreads.com/book/show/59364173-i-m-glad-my-mom-died,"1,180,984","121,577","320 pages, ebook"," First published August 9, 2022"
22,Counting the Cost,"Craig Borlase, Derick Dillard, Jill Duggar",4.03,"For the first time, discover the unedited truth about the Duggars, the traditional Christian family that captivated the nation on TLC’s hit show 19 Kids and Counting. Jill Duggar and her husband Derick are finally ready to share their story, revealing the secrets, manipulation, and intimidation behind the show that remained hidden from their fans.

Jill and Derick knew a normal life wasn’t possible for them. As a star on the popular TLC reality show 19 Kids and Counting, Jill grew up in front of viewers who were fascinated by her family’s way of life. She was the responsible, second daughter of Jim Bob and Michelle’s nineteen kids; always with a baby on her hip and happy to wear the modest ankle-length dresses with throat-high necklines. She didn’t protest the strict model of patriarchy that her family followed, which declares that men are superior, that women are expected to be wives and mothers and are discouraged from attaining a higher education, and that parental authority over their children continues well into adulthood, even once they are married.

But as Jill got older, married Derick, and they embarked on their own lives, the red flags became too obvious to ignore. For as long as they could, Jill and Derick tried to be obedient family members — they weren’t willing to rock the boat. But now they’re raising a family of their own, and they’re done with the secrets. Thanks to time, tears, therapy, and blessings from God, they have the strength to share their journey. Theirs is a remarkable story of the power of the truth and is a moving example of how to find healing through honesty.",https://www.goodreads.com/book/show/167770288-counting-the-cost,"121,729","10,868","287 pages, Kindle Edition"," First published September 12, 2023"
